case_id,attorney_id,title,status,start_date,closed_date
1001,79,Particularly according,open,2022-07-24,
1002,73,Prevent raise experience,pending,2025-02-23,
1003,27,Person benefit specific,closed,2024-02-05,2025-05-29
1004,74,Process amount,pending,2022-10-28,
1005,1,Quite girl apply,pending,2023-04-06,
1006,20,Drop tax case provide edge,closed,2024-11-04,2025-05-10
1007,70,Republican who my scientist,open,2025-03-31,
1008,26,Service easy,pending,2024-06-06,
1009,75,Fine skin,closed,2024-05-30,2024-12-25
1010,76,Ball debate subject message,open,2022-06-23,
1011,7,Evening vote walk able,closed,2022-08-07,2022-11-02
1012,23,Sort fill on game general,open,2023-02-27,
1013,14,Increase degree forward they,open,2023-10-12,
1014,97,Yes voice section,closed,2023-01-31,2023-03-16
1015,99,Against evidence without,open,2024-12-03,
1016,90,Night Mrs drop summer,closed,2024-09-11,2025-03-12
1017,63,Account former those,pending,2024-12-03,
1018,48,Measure blood style defense,open,not_a_date,
1019,89,Situation blood,closed,2022-06-20,2024-05-26
1020,48,Room either understand hot executive,pending,2023-07-13,
1021,47,Team him over,closed,2023-10-23,2024-05-18
1022,53,Ever treatment early understand,open,2023-07-19,
1023,30,Side news media,open,2024-05-06,
1024,95,Similar pull put soon,open,2022-09-25,
1025,84,Majority draw fear charge tonight,pending,2024-07-17,
1026,19,Call quite father fine,closed,2023-07-24,2025-05-15
1027,59,Fill field,pending,2023-06-06,
1028,62,Other try share cup,pending,not_a_date,
1029,54,Inside here religious form,closed,2024-12-15,2025-01-31
1030,40,Life federal apply,pending,2024-03-24,
1031,31,No mention,closed,not_a_date,2025-05-02
1032,42,Collection show nature place,closed,2023-12-31,2024-03-24
1033,79,Hotel month end,archived,2023-03-13,
1034,83,Tree white effort performance,open,2022-10-05,
1035,71,Sound word none money,open,2023-12-25,
1036,20,Read party just visit finally,open,2024-03-03,
1037,86,Surface leg heart account,pending,2023-08-11,
1038,92,Later minute east political,open,2025-04-17,
1039,20,Happy option compare,closed,2025-05-10,2025-05-23
1040,36,Number establish go,open,2024-07-26,
1041,89,Risk why street,pending,2023-07-16,
1042,5,Little wide,open,2025-05-16,
1043,42,Wrong home risk attack,archived,2023-04-27,
1044,64,Attention three wind,open,2022-11-16,
1045,32,Example room your,open,2024-06-16,
1046,17,Play want,archived,2024-01-28,
1047,21,Maintain successful,closed,2022-11-01,2022-12-15
1048,91,Student assume quite,pending,2024-09-03,
1049,99,Husband conference,closed,2024-08-09,2025-02-18
1050,6,Look conference,open,2024-11-07,
1051,35,Deep have mention catch road,pending,2024-06-12,
1052,60,Suddenly them pick wish change,closed,2025-04-22,2025-05-29
1053,30,Notice million must worry indeed,pending,2022-08-04,
1054,66,Raise model box book million,pending,2024-07-12,
1055,37,Station structure foot age visit,open,2022-11-21,
1056,56,Would approach son,pending,2025-02-20,
1057,7,Store show outside,closed,2022-09-01,2023-04-05
1058,35,Marriage situation ground tell,closed,2023-08-02,2025-04-19
1059,11,Discussion able fact share,open,2023-08-30,
1060,63,Mouth learn call,pending,2025-04-15,
1061,60,Increase animal religious information,open,2024-05-21,
1062,48,Leg entire,closed,2024-05-13,2024-12-06
1063,38,Modern prepare both,closed,2024-10-03,2024-12-25
1064,34,Rich community modern,open,2024-08-12,
1065,88,Risk management as after,closed,2023-03-07,2023-08-30
1066,10,Budget four employee owner,open,2024-09-20,
1067,59,Thousand through forget kitchen,archived,2024-04-18,
1068,31,So trouble,closed,2023-11-25,2024-02-24
1069,52,Win drop way around least,pending,2023-07-04,
1070,35,Day democratic last value,open,2025-03-05,
1071,23,Lay deep common,closed,2025-03-11,2025-04-10
1072,71,Card somebody quickly serve,closed,2024-02-20,2024-05-04
1073,80,That return data,pending,2023-09-16,
1074,56,Argue on,open,2022-08-29,
1075,49,So win end option,pending,not_a_date,
1076,61,Decide throughout your capital,open,2024-08-11,
1077,53,One range,pending,2023-04-20,
1078,60,Wrong human close,open,2022-06-12,
1079,52,Issue seek law against,pending,2022-07-12,
1080,28,Whether bar stock say,pending,2025-04-25,
1081,13,Sell we class,pending,2022-09-27,
1082,73,Glass agreement phone official,closed,2024-11-06,2025-03-04
1083,52,Impact machine born consider,open,2023-10-10,
1084,46,Both current blood seem individual,open,2024-05-11,
1085,25,There support toward,pending,2023-10-26,
1086,2,Wish our save do,pending,2023-11-17,
1087,46,Guess different,open,2025-04-23,
1088,28,Provide mean meeting instead,pending,2024-10-23,
1089,90,Traditional eat,closed,2025-03-04,2025-03-27
1090,36,Wait short growth,closed,2022-08-11,2024-12-13
1091,71,Yard occur letter woman,open,2023-06-15,
1092,59,Business another name,open,2023-09-06,
1093,96,Although someone,open,2022-09-11,
1094,99,Sea magazine yard whether,open,2025-05-29,
1095,4,Mention talk key when although,pending,2025-05-03,
1096,56,Building any report argue,pending,2023-03-22,
1097,100,Perform everyone,closed,2023-07-06,2024-03-08
1098,97,Glass thus movie term,pending,2025-02-07,
1099,22,Compare along man speech wrong,open,2025-06-04,
1100,81,Let thus,open,2023-09-07,
